id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id
1237,1,1,2013/2014,1,29/03/2014 00:00,1677179,8475,9989
1238,1,1,2013/2014,1,29/03/2014 00:00,1677180,9991,8573
1239,1,1,2013/2014,2,05/04/2014 00:00,1677181,9989,9991
1240,1,1,2013/2014,2,05/04/2014 00:00,1677182,8573,8475
1241,1,1,2013/2014,3,12/04/2014 00:00,1677183,9991,8475
1242,1,1,2013/2014,3,12/04/2014 00:00,1677184,8573,9989
1243,1,1,2013/2014,4,19/04/2014 00:00,1677185,8475,9991
1244,1,1,2013/2014,4,19/04/2014 00:00,1677186,9989,8573
1245,1,1,2013/2014,5,26/04/2014 00:00,1677187,9989,8475
1246,1,1,2013/2014,5,26/04/2014 00:00,1677188,8573,9991
1247,1,1,2013/2014,6,03/05/2014 00:00,1677189,8475,8573
1248,1,1,2013/2014,6,03/05/2014 00:00,1677190,9991,9989
1249,1,1,2014/2015,1,25/07/2014 00:00,1717817,9985,9986
1250,1,1,2014/2015,1,26/07/2014 00:00,1717818,8475,8342
1251,1,1,2014/2015,1,26/07/2014 00:00,1717819,9984,9991
1252,1,1,2014/2015,1,26/07/2014 00:00,1717820,9989,8573
1253,1,1,2014/2015,1,26/07/2014 00:00,1717821,10001,9994
1254,1,1,2014/2015,1,27/07/2014 00:00,1717822,8203,9987
1255,1,1,2014/2015,1,27/07/2014 00:00,1717823,8635,274581
1256,1,1,2014/2015,1,27/07/2014 00:00,1717824,10000,8571
1257,1,1,2014/2015,10,05/10/2014 00:00,1717889,8342,9985
1258,1,1,2014/2015,10,05/10/2014 00:00,1717890,8635,9987
1259,1,1,2014/2015,10,04/10/2014 00:00,1717891,9986,8571
1260,1,1,2014/2015,10,04/10/2014 00:00,1717892,274581,8203
1261,1,1,2014/2015,10,05/10/2014 00:00,1717893,9994,8573
1262,1,1,2014/2015,10,04/10/2014 00:00,1717894,9989,10000
1263,1,1,2014/2015,10,03/10/2014 00:00,1717895,10001,9991
1264,1,1,2014/2015,10,04/10/2014 00:00,1717896,8475,9984
1265,1,1,2014/2015,11,19/10/2014 00:00,1717897,9985,10000
1266,1,1,2014/2015,11,19/10/2014 00:00,1717898,9987,10001
1267,1,1,2014/2015,11,18/10/2014 00:00,1717899,9991,9986
1268,1,1,2014/2015,11,18/10/2014 00:00,1717900,8573,274581
1269,1,1,2014/2015,11,19/10/2014 00:00,1717901,9994,8342
1270,1,1,2014/2015,11,18/10/2014 00:00,1717902,8571,8475
1271,1,1,2014/2015,11,18/10/2014 00:00,1717903,8203,8635
1272,1,1,2014/2015,11,18/10/2014 00:00,1717904,9984,9989
1273,1,1,2014/2015,12,26/10/2014 00:00,1717905,8342,9991
1274,1,1,2014/2015,12,26/10/2014 00:00,1717906,8635,9985
1275,1,1,2014/2015,12,25/10/2014 00:00,1717907,9986,8573
1276,1,1,2014/2015,12,25/10/2014 00:00,1717908,10000,9984
1277,1,1,2014/2015,12,26/10/2014 00:00,1717909,274581,9994
1278,1,1,2014/2015,12,24/10/2014 00:00,1717910,9989,8203
1279,1,1,2014/2015,12,25/10/2014 00:00,1717911,10001,8571
1280,1,1,2014/2015,12,25/10/2014 00:00,1717912,8475,9987
1281,1,1,2014/2015,13,28/10/2014 00:00,1717913,9987,9989
1282,1,1,2014/2015,13,29/10/2014 00:00,1717914,9991,8475
1283,1,1,2014/2015,13,29/10/2014 00:00,1717915,8573,10001
1284,1,1,2014/2015,13,30/10/2014 00:00,1717916,274581,8342
1285,1,1,2014/2015,13,29/10/2014 00:00,1717917,9994,9986
1286,1,1,2014/2015,13,29/10/2014 00:00,1717918,8571,8635
1287,1,1,2014/2015,13,28/10/2014 00:00,1717919,8203,10000
1288,1,1,2014/2015,13,29/10/2014 00:00,1717920,9984,9985
1289,1,1,2014/2015,14,01/11/2014 00:00,1717921,8635,9994
1290,1,1,2014/2015,14,01/11/2014 00:00,1717922,9985,8203
1291,1,1,2014/2015,14,02/11/2014 00:00,1717923,9986,8342
1292,1,1,2014/2015,14,31/10/2014 00:00,1717924,10000,9987
1293,1,1,2014/2015,14,02/11/2014 00:00,1717925,9989,9991
1294,1,1,2014/2015,14,02/11/2014 00:00,1717926,10001,274581
1295,1,1,2014/2015,14,01/11/2014 00:00,1717927,8475,8573
1296,1,1,2014/2015,14,01/11/2014 00:00,1717928,9984,8571
1297,1,1,2014/2015,15,09/11/2014 00:00,1717929,8342,10001
1298,1,1,2014/2015,15,09/11/2014 00:00,1717930,9987,9985
1299,1,1,2014/2015,15,09/11/2014 00:00,1717931,9991,8635
1300,1,1,2014/2015,15,07/11/2014 00:00,1717932,8573,10000
1301,1,1,2014/2015,15,08/11/2014 00:00,1717933,274581,9986
1302,1,1,2014/2015,15,09/11/2014 00:00,1717934,9994,8475
1303,1,1,2014/2015,15,08/11/2014 00:00,1717935,8571,9989
1304,1,1,2014/2015,15,08/11/2014 00:00,1717936,8203,9984
1305,1,1,2014/2015,16,22/11/2014 00:00,1717937,274581,9989
1306,1,1,2014/2015,16,22/11/2014 00:00,1717938,9994,10001
1307,1,1,2014/2015,16,23/11/2014 00:00,1717939,8571,10000
1308,1,1,2014/2015,16,22/11/2014 00:00,1717940,8342,8475
1309,1,1,2014/2015,16,23/11/2014 00:00,1717941,9987,8203
1310,1,1,2014/2015,16,22/11/2014 00:00,1717942,9991,9984
1311,1,1,2014/2015,16,23/11/2014 00:00,1717943,8573,9985
1312,1,1,2014/2015,16,22/11/2014 00:00,1717944,9986,8635
1313,1,1,2014/2015,17,30/11/2014 00:00,1717945,8635,8342
1314,1,1,2014/2015,17,30/11/2014 00:00,1717946,9985,8571
1315,1,1,2014/2015,17,28/11/2014 00:00,1717947,10000,9991
1316,1,1,2014/2015,17,29/11/2014 00:00,1717948,8203,8573
1317,1,1,2014/2015,17,30/11/2014 00:00,1717949,9989,9994
1318,1,1,2014/2015,17,29/11/2014 00:00,1717950,10001,9986
1319,1,1,2014/2015,17,29/11/2014 00:00,1717951,8475,274581
