id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1237,1,1,2013/2014,1,29/03/2014 00:00,1677179,8475,9989,2,0,1,2,4,6,8,2,4,6,8,4,6,1,3,5,7,2,4,6,8,3,4,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,7,7,7,7,10,10,10,208699,8930,208348,26606,186621,104410,32760,37963,376780,80592,466203,38953,45485,426892,237646,512033,36863,25655,466260,513810,389202,410160
1238,1,1,2013/2014,1,29/03/2014 00:00,1677180,9991,8573,0,1,1,1,3,5,7,9,3,4,6,8,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,3,7,7,7,7,11,1,3,3,3,3,7,7,7,10,10,10,181069,114368,97359,169594,67958,466117,173449,232299,26916,25751,38419,107806,149140,134233,149334,39859,201811,244136,265123,38365,346142,338979
1239,1,1,2013/2014,2,05/04/2014 00:00,1677181,9989,9991,1,0,1,2,4,6,8,2,6,8,4,4,6,1,1,3,5,7,9,3,5,7,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,3,7,7,7,10,10,270473,45485,426892,532766,237646,512033,149258,521272,36863,513810,389202,181069,97359,169594,49451,67958,45413,173449,40520,232299,38419,181842
1240,1,1,2013/2014,2,05/04/2014 00:00,1677182,8573,8475,0,0,1,2,4,6,8,3,5,7,3,5,7,1,3,4,7,1,3,5,7,9,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,7,7,7,7,7,10,10,107806,149140,134233,149334,39859,201811,244136,265123,38365,346142,338979,208699,8930,208348,186621,32760,27168,37963,39102,12283,77813,80592
1241,1,1,2013/2014,3,12/04/2014 00:00,1677183,9991,8475,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,181069,49451,97359,45413,466117,40520,232299,26916,67958,181842,38419,208699,154276,149279,186621,8930,104410,32760,26606,39102,77813,80592
1242,1,1,2013/2014,3,12/04/2014 00:00,1677184,8573,9989,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,107806,149140,149334,134233,39859,346142,201811,38365,244136,282671,265123,270473,426892,513810,45485,237646,466260,512033,389202,149258,36863,512734
1243,1,1,2013/2014,4,19/04/2014 00:00,1677185,8475,9991,2,4,1,2,4,6,8,2,4,6,8,4,6,1,6,2,4,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36872,154276,8930,26606,208348,104410,186621,321970,39102,80592,12283,181069,466117,97359,45413,67958,25751,232299,173449,40520,38419,181842
1244,1,1,2013/2014,4,19/04/2014 00:00,1677186,9989,8573,0,2,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,10,10,270473,426892,513810,45485,237646,512033,532766,25655,521272,36863,512734,242234,149140,134233,149334,39859,346142,201811,265123,38365,282671,45490
1245,1,1,2013/2014,5,26/04/2014 00:00,1677187,9989,8475,4,2,1,2,4,6,8,5,2,4,6,8,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,6,8,8,8,8,11,1,3,3,3,3,7,7,7,7,10,10,270473,37823,,513810,237646,181071,36863,532766,512033,21834,512734,36872,154276,186621,208348,8930,467052,27168,32760,39102,80592,466203
1246,1,1,2013/2014,5,26/04/2014 00:00,1677188,8573,9991,1,1,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,242234,149140,149334,134233,39859,201811,38365,346142,265123,45490,338979,181069,49451,97359,45413,67958,173449,208929,25751,40520,181842,38419
